basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20260901,002700,KR7002700003,신일전자,KOSPI,1001,1,.1,999,1004,989,373630,372289121,68547521,68616068521
20260901,002710,KR7002710002,TCC스틸,KOSPI,11570,150,1.31,11730,11750,11350,80822,936365200,26213697,303292474290
20260901,002720,KR7002720001,국제약품,KOSPI,3435,50,1.48,3350,3580,3310,181677,625245496,21159832,72684022920
20260901,002760,KR7002760007,보락,KOSPI,1026,-1,-.1,1027,1032,1015,57122,58633658,59900000,61457400000
20260901,002780,KR7002780005,진흥기업,KOSPI,782,0,0,0,0,0,0,0,145471745,113758904590
20260901,002785,KR7002781003,진흥기업우B,KOSPI,1336,0,0,0,0,0,0,0,857218,1145243248
20260901,002787,KR7002782001,진흥기업2우B,KOSPI,2895,0,0,0,0,0,0,0,294808,853469160
20260901,002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,27200,-50,-.18,26950,27700,26750,103209,2805272925,76458180,2079662496000
20260901,002795,KR7002791002,아모레퍼시픽홀딩스우,KOSPI,11230,-10,-.09,11230,11300,11070,5584,62207850,6381172,71660561560
20260901,00279K,KR700279K010,아모레퍼시픽홀딩스3우C,KOSPI,22350,-100,-.45,22450,22700,22100,6282,140881450,7092200,158510670000
20260901,002800,KR7002800001,신신제약,KOSDAQ,4700,35,.75,4700,5160,4610,1163714,5649300940,15170500,71301350000
20260901,002810,KR7002810000,삼영무역,KOSPI,22350,-100,-.45,22450,22450,21900,16316,360257525,18466948,412736287800
20260901,002820,KR7002820009,SUN&L,KOSPI,1733,63,3.77,1730,1760,1603,29127,49242730,12063204,20905532532
20260901,002840,KR7002840007,미원상사,KOSPI,138000,-300,-.22,134200,139300,134200,2529,345668800,4500000,621000000000
20260901,002870,KR7002870004,신풍,KOSPI,998,-37,-3.57,1035,1039,995,162191,163140982,34958700,34888782600
20260901,002880,KR7002880003,디와이에이,KOSPI,753,0,0,0,0,0,0,0,46773995,35220818235
20260901,002900,KR7002900009,TYM,KOSPI,6920,120,1.76,6790,6960,6750,109325,752359650,41400000,286488000000
20260901,002920,KR7002920007,유성기업,KOSPI,1795,25,1.41,1830,1830,1778,8209,14624594,25947500,46575762500
20260901,002960,KR7002960003,한국쉘석유,KOSPI,498000,-500,-.1,503000,506000,498000,741,371670500,1300000,647400000000
20260901,002990,KR7002990000,금호건설,KOSPI,16500,40,.24,16610,17250,15630,6464860,105953043975,37259974,614789571000
20260901,002995,KR7002991008,금호건설우,KOSPI,21050,-1150,-5.18,22250,22250,20900,14758,312564200,292266,6152199300
20260901,003000,KR7003000007,부광약품,KOSPI,4380,195,4.66,4190,4875,4140,4811517,22009847401,98664671,432151258980
20260901,003010,KR7003010006,혜인,KOSPI,10770,-1620,-13.08,12280,12380,10140,663173,7251040135,12712747,136916285190
20260901,003030,KR7003030004,세아제강지주,KOSPI,102300,1000,.99,100000,103600,100000,15766,1601836800,4141657,423691511100
20260901,003060,KR7003060001,에이프로젠바이오로직스,KOSPI,1738,-62,-3.44,1782,1813,1730,157224,275476010,15989317,27789432946
20260901,003070,KR7003070000,코오롱글로벌,KOSPI,9770,-50,-.51,9800,9890,9600,12262,119137830,25423959,248392079430
20260901,003075,KR7003071008,코오롱글로벌우,KOSPI,12840,-130,-1,12960,13060,12550,147,1876760,740737,9511063080
20260901,003080,KR7003080009,SB성보,KOSPI,2235,0,0,2260,2260,2230,3402,7593780,20020000,44744700000
20260901,003090,KR7003090008,대웅,KOSPI,17790,-250,-1.39,17680,17950,17560,52441,929358830,58141980,1034345824200
20260901,0030R0,KR70030R0007,대신밸류리츠,KOSPI,4000,30,.76,4000,4025,3950,17803,71303116,59780000,239120000000
20260901,003100,KR7003100005,선광,KOSDAQ,21000,150,.72,20850,21000,20700,3237,67593150,6600000,138600000000
